# queue	name	tag	seed	checkpoint	family
node-a	k1-grid25-s1-latest	driftflow-endpointnorm-k1-grid25	1	latest	k1-grid25
node-a	k1-grid25-s2-latest	driftflow-endpointnorm-k1-grid25	2	latest	k1-grid25
node-a	k1-grid25-s3-latest	driftflow-endpointnorm-k1-grid25	3	latest	k1-grid25
node-a	k1-grid25-s1-best	driftflow-endpointnorm-k1-grid25	1	best	k1-grid25-validation-best
node-a	k1-grid25-s2-best	driftflow-endpointnorm-k1-grid25	2	best	k1-grid25-validation-best
node-a	k1-grid25-s3-best	driftflow-endpointnorm-k1-grid25	3	best	k1-grid25-validation-best
node-a	k32-s1-latest	driftflow-endpointnorm-k32	1	latest	k32
node-a	k32-s2-latest	driftflow-endpointnorm-k32	2	latest	k32
node-b	k32-s3-latest	driftflow-endpointnorm-k32	3	latest	k32
node-b	joint-k16-s1-latest	driftflow-endpointnorm-k16-grid25-sr25	1	latest	joint-k16
node-b	joint-k16-s2-latest	driftflow-endpointnorm-k16-grid25-sr25	2	latest	joint-k16
node-b	joint-k16-s3-latest	driftflow-endpointnorm-k16-grid25-sr25	3	latest	joint-k16
node-b	deep-base-s1-latest	wknd-d-base-k16	1	latest	deep-base-k16
node-b	deep-base-s1-best	wknd-d-base-k16	1	best	rollout-best-base-k16
node-b	deep-base-s2-latest	wknd-d-base-k16	2	latest	deep-base-k16
node-b	deep-base-s2-best	wknd-d-base-k16	2	best	rollout-best-base-k16
